,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-07-08-US-MTV-1,Pixel4,1278284554436,1,13,GPS_L1,1278284554358012973,13021388.151,-13331986.383,18767834.84,124.696,2410.386,1625.225,7519.783,0.001,23466296.906,3.897,0.0,4.237,6.966,23473805.486,G13,1278284555436,-2711666.2273264755,-4269240.522297782,3872972.417898799,-10619.844524021386
1,2020-07-08-US-MTV-1,Pixel4,1278284554436,1,15,GPS_L1,1278284554363984757,5498562.562,-21696629.521,13688630.438,728.906,1694.405,2376.284,-65606.836,-0.0,21676001.102,3.897,0.0,3.284,3.862,21610387.12,G15,1278284555436,-2711666.2273264755,-4269240.522297782,3872972.417898799,-10619.844524021386
2,2020-07-08-US-MTV-1,Pixel4,1278284554436,1,29,GPS_L1,1278284554362932962,-3200533.99,-26194993.717,2784280.203,186.578,-368.832,-3205.591,-43745.498,-0.003,21991321.31,3.897,0.0,3.579,3.91,21947568.323,G29,1278284555436,-2711666.2273264755,-4269240.522297782,3872972.417898799,-10619.844524021386
3,2020-07-08-US-MTV-1,Pixel4,1278284554436,1,10,GPS_L1,1278284554360836165,-23880631.063,-11740367.904,2180781.04,337.624,-119.958,3156.249,-118168.276,-0.003,22619925.237,2.398,0.0,4.071,4.392,22501748.498,G10,1278284555436,-2711666.2273264755,-4269240.522297782,3872972.417898799,-10619.844524021386
4,2020-07-08-US-MTV-1,Pixel4,1278284554436,1,16,GPS_L1,1278284554359017436,-18816275.007,3903172.384,18311357.162,-2020.326,-1203.176,-1755.28,-54057.939,-0.001,23165166.474,2.698,0.0,4.305,5.719,23111098.511,G16,1278284555436,-2711666.2273264755,-4269240.522297782,3872972.417898799,-10619.844524021386
5,2020-07-08-US-MTV-1,Pixel4,1278284554436,1,20,GPS_L1,1278284554368161395,-17705058.995,-14920577.037,13135902.866,1690.613,181.287,2446.932,158098.782,0.0,20423876.53,8.094,0.0,2.518,2.724,20581970.070000004,G20,1278284555436,-2711666.2273264755,-4269240.522297782,3872972.417898799,-10619.844524021386
6,2020-07-08-US-MTV-1,Pixel4,1278284554436,1,18,GPS_L1,1278284554367896122,-6536573.276,-13829500.523,21699084.298,2260.974,-1578.433,-327.58,72361.687,0.003,20503403.375,5.096,0.0,2.421,2.758,20575759.882999998,G18,1278284555436,-2711666.2273264755,-4269240.522297782,3872972.417898799,-10619.844524021386
7,2020-07-08-US-MTV-1,Pixel4,1278284554436,1,26,GPS_L1,1278284554360287870,-25210039.913,-3602518.445,7906495.328,-834.113,-628.991,-2911.277,71908.558,0.002,22784299.943,2.998,0.0,4.339,4.988,22856199.173999995,G26,1278284555436,-2711666.2273264755,-4269240.522297782,3872972.417898799,-10619.844524021386
0,2020-07-08-US-MTV-1,Pixel4,1278284555436,1,13,GPS_L1,1278284555358012358,13021512.917,-13329575.9,18769459.862,124.836,2410.584,1624.82,7519.783,0.001,23466481.278,3.897,0.0,4.237,6.966,23473989.858000003,G13,1278284556436,-2711666.2273264755,-4269240.522297782,3872972.417898799,-10623.139489896208
1,2020-07-08-US-MTV-1,Pixel4,1278284555436,1,15,GPS_L1,1278284555363984788,5499291.546,-21694934.987,13691006.57,729.061,1694.662,2375.981,-65606.837,-0.0,21675991.808,3.897,0.0,3.284,3.862,21610377.824999996,G15,1278284556436,-2711666.2273264755,-4269240.522297782,3872972.417898799,-10623.139489896208
