,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-07-08-US-MTV-1,Pixel4,1278283724436,1,13,GPS_L1,1278283724358385253,12963439.965,-15258842.651,17283127.099,18.523,2226.178,1947.955,7519.312,0.001,23354690.17,4.797,0.0,4.273,6.605,23362198.604000002,G13,1278283725436,-2704136.685387196,-4282115.903926291,3864040.053080434,-5119.425599014686
1,2020-07-08-US-MTV-1,Pixel4,1278283724436,1,15,GPS_L1,1278283724363822350,4944369.61,-23009763.528,11617390.012,609.84,1464.398,2608.293,-65606.474,-0.0,21724689.496,3.298,0.0,3.38,3.902,21659075.740000002,G15,1278283725436,-2704136.685387196,-4282115.903926291,3864040.053080434,-5119.425599014686
2,2020-07-08-US-MTV-1,Pixel4,1278283724436,1,21,GPS_L1,1278283724360544128,-20207723.443,-528046.833,17852713.676,1589.466,-1430.748,1864.087,6390.56,0.003,22707475.727,2.698,0.0,3.641,4.281,22713858.365000002,G21,1278283725436,-2704136.685387196,-4282115.903926291,3864040.053080434,-5119.425599014686
3,2020-07-08-US-MTV-1,Pixel4,1278283724436,1,29,GPS_L1,1278283724364314151,-3361403.847,-25754578.602,5417959.984,207.204,-691.055,-3132.853,-43743.268,-0.003,21577251.265,8.094,0.0,3.22,3.489,21533501.288000003,G29,1278283725436,-2704136.685387196,-4282115.903926291,3864040.053080434,-5119.425599014686
4,2020-07-08-US-MTV-1,Pixel4,1278283724436,1,27,GPS_L1,1278283724352665243,-12473349.0,12457264.172,19611267.95,-277.33,-2515.835,1443.615,-102214.208,-0.004,25069506.027,3.298,0.0,5.524,22.967,24967263.327999998,G27,1278283725436,-2704136.685387196,-4282115.903926291,3864040.053080434,-5119.425599014686
5,2020-07-08-US-MTV-1,Pixel4,1278283724436,1,10,GPS_L1,1278283724359320784,-24039914.107,-11589873.185,-448331.573,48.369,-248.224,3171.329,-118166.01,-0.003,23074225.032,4.797,0.0,4.645,5.125,22956049.252,G10,1278283725436,-2704136.685387196,-4282115.903926291,3864040.053080434,-5119.425599014686
6,2020-07-08-US-MTV-1,Pixel4,1278283724436,1,16,GPS_L1,1278283724358490054,-17102348.734,4981405.421,19630218.529,-2102.173,-1394.181,-1418.569,-54056.64,-0.002,23323271.62,2.398,0.0,4.41,6.177,23269204.393,G16,1278283725436,-2704136.685387196,-4282115.903926291,3864040.053080434,-5119.425599014686
7,2020-07-08-US-MTV-1,Pixel4,1278283724436,1,20,GPS_L1,1278283724367416235,-19000348.371,-15070166.68,11014416.637,1427.974,173.613,2658.823,158098.599,0.0,20647269.878,9.294,0.0,2.657,2.85,20805362.969999995,G20,1278283725436,-2704136.685387196,-4282115.903926291,3864040.053080434,-5119.425599014686
8,2020-07-08-US-MTV-1,Pixel4,1278283724436,1,18,GPS_L1,1278283724367888050,-8451389.075,-12560832.233,21811310.003,2346.704,-1474.054,57.474,72359.317,0.003,20505823.299,3.598,0.0,2.438,2.756,20578177.422,G18,1278283725436,-2704136.685387196,-4282115.903926291,3864040.053080434,-5119.425599014686
9,2020-07-08-US-MTV-1,Pixel4,1278283724436,1,26,GPS_L1,1278283724360924581,-24416787.555,-3015943.307,10259803.724,-1072.479,-787.991,-2752.472,71906.548,0.002,22593418.787,2.099,0.0,4.099,4.678,22665316.558000002,G26,1278283725436,-2704136.685387196,-4282115.903926291,3864040.053080434,-5119.425599014686
0,2020-07-08-US-MTV-1,Pixel4,1278283725436,1,13,GPS_L1,1278283725358384959,12963458.546,-15256616.351,17285074.867,18.637,2226.423,1947.583,7519.312,0.001,23354778.309,3.897,0.0,4.273,6.605,23362286.743,G13,1278283726436,-2704146.322532234,-4282093.98535543,3864057.3992355126,-5119.096297393237
1,2020-07-08-US-MTV-1,Pixel4,1278283725436,1,15,GPS_L1,1278283725363822700,4944979.516,-23008298.981,11619998.177,609.971,1464.694,2608.037,-65606.474,-0.0,21724584.568,3.298,0.0,3.38,3.902,21658970.812000003,G15,1278283726436,-2704146.322532234,-4282093.98535543,3864057.3992355126,-5119.096297393237
