,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-07-08-US-MTV-1,Pixel4,1278283524436,1,5,GPS_L1,1278283524351054107,18321378.641,-5656721.269,18318951.763,2053.807,1153.55,-1665.314,-4872.808,-0.0,25552512.449,7.195,0.0,4.866,47.383,25547587.392,G5,1278283525436,-2701777.6173600527,-4286371.577633113,3860991.27718864,-3963.5149950931514
1,2020-07-08-US-MTV-1,Pixel4,1278283524436,1,13,GPS_L1,1278283524358436705,12961975.156,-15699112.134,16886146.141,-3.634,2176.172,2021.57,7519.197,0.001,23339265.248,4.797,0.0,4.29,6.557,23346773.598,G13,1278283525436,-2701777.6173600527,-4286371.577633113,3860991.27718864,-3963.5149950931514
2,2020-07-08-US-MTV-1,Pixel4,1278283524436,1,15,GPS_L1,1278283524363743626,4824974.327,-23296667.175,11090685.447,584.336,1404.358,2658.362,-65606.392,-0.0,21748290.357,4.797,0.0,3.413,3.925,21682676.627,G15,1278283525436,-2701777.6173600527,-4286371.577633113,3860991.27718864,-3963.5149950931514
3,2020-07-08-US-MTV-1,Pixel4,1278283524436,1,21,GPS_L1,1278283524360315415,-20523648.257,-246384.072,17472687.317,1569.379,-1385.832,1935.935,6390.0,0.003,22776042.159,1.799,0.0,3.723,4.392,22782424.044,G21,1278283525436,-2701777.6173600527,-4286371.577633113,3860991.27718864,-3963.5149950931514
4,2020-07-08-US-MTV-1,Pixel4,1278283524436,1,29,GPS_L1,1278283524364622207,-3403852.683,-25608742.244,6042127.489,217.632,-767.186,-3108.387,-43742.729,-0.003,21484898.4,3.298,0.0,3.146,3.406,21441149.119,G29,1278283525436,-2701777.6173600527,-4286371.577633113,3860991.27718864,-3963.5149950931514
5,2020-07-08-US-MTV-1,Pixel4,1278283524436,1,27,GPS_L1,1278283524352196522,-12421098.486,12957064.111,19314059.405,-245.314,-2481.72,1528.254,-102213.482,-0.004,25210025.048,10.493,0.0,5.589,28.311,25107777.665999997,G27,1278283525436,-2701777.6173600527,-4286371.577633113,3860991.27718864,-3963.5149950931514
6,2020-07-08-US-MTV-1,Pixel4,1278283524436,1,10,GPS_L1,1278283524358938071,-24042822.687,-11536681.927,-1082321.908,-19.117,-283.99,3168.119,-118165.46,-0.003,23188959.503,2.398,0.0,4.801,5.348,23070783.893999998,G10,1278283525436,-2701777.6173600527,-4286371.577633113,3860991.27718864,-3963.5149950931514
7,2020-07-08-US-MTV-1,Pixel4,1278283524436,1,16,GPS_L1,1278283524358317076,-16680567.045,5264753.756,19905487.752,-2115.207,-1439.21,-1333.91,-54056.309,-0.002,23375129.12,3.298,0.0,4.446,6.335,23321062.03,G16,1278283525436,-2701777.6173600527,-4286371.577633113,3860991.27718864,-3963.5149950931514
8,2020-07-08-US-MTV-1,Pixel4,1278283524436,1,20,GPS_L1,1278283524367207992,-19279419.354,-15104233.153,10478079.569,1362.624,166.72,2704.163,158098.548,0.0,20709699.559,13.79,0.0,2.698,2.888,20867792.521,G20,1278283525436,-2701777.6173600527,-4286371.577633113,3860991.27718864,-3963.5149950931514
9,2020-07-08-US-MTV-1,Pixel4,1278283524436,1,18,GPS_L1,1278283524367867088,-8922251.569,-12268899.643,21790527.836,2361.529,-1445.043,150.333,72358.745,0.003,20512107.549,2.698,0.0,2.445,2.759,20584461.09,G18,1278283525436,-2701777.6173600527,-4286371.577633113,3860991.27718864,-3963.5149950931514
10,2020-07-08-US-MTV-1,Pixel4,1278283524436,1,26,GPS_L1,1278283524361040138,-24196971.581,-2854233.185,10805901.152,-1125.372,-829.285,-2708.12,71906.068,0.002,22558775.67,4.197,0.0,4.055,4.627,22630673.056,G26,1278283525436,-2701777.6173600527,-4286371.577633113,3860991.27718864,-3963.5149950931514
0,2020-07-08-US-MTV-1,Pixel4,1278283525436,1,13,GPS_L1,1278283525358436513,12961971.576,-15696935.835,16888167.529,-3.527,2176.427,2021.207,7519.198,0.001,23339322.808,6.296,0.0,4.29,6.557,23346831.158999998,G13,1278283526436,-2701795.981795885,-4286350.577442388,3861001.867295421,-3977.5219280818014
1,2020-07-08-US-MTV-1,Pixel4,1278283525436,1,15,GPS_L1,1278283525363744051,4825558.726,-23295262.664,11093343.687,584.46,1404.662,2658.117,-65606.392,-0.0,21748162.945,4.797,0.0,3.413,3.925,21682549.215,G15,1278283526436,-2701795.981795885,-4286350.577442388,3861001.867295421,-3977.5219280818014
2,2020-07-08-US-MTV-1,Pixel4,1278283525436,1,21,GPS_L1,1278283525360316606,-20522078.823,-247770.019,17474623.077,1569.486,-1386.058,1935.579,6390.003,0.003,22775685.107,1.799,0.0,3.723,4.391,22782066.996,G21,1278283526436,-2701795.981795885,-4286350.577442388,3861001.867295421,-3977.5219280818014
3,2020-07-08-US-MTV-1,Pixel4,1278283525436,1,29,GPS_L1,1278283525364620721,-3403635.08,-25609509.238,6039019.042,217.575,-766.807,-3108.516,-43742.732,-0.003,21485343.891,3.897,0.0,3.147,3.406,21441594.606,G29,1278283526436,-2701795.981795885,-4286350.577442388,3861001.867295421,-3977.5219280818014
