,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-06-04-US-MTV-1,Pixel4,1275340714441,1,5,GPS_L1,1275340714367847825,-1483385.774,-26229982.707,2946014.66,374.01,345.732,3140.586,-4193.082,-0.001,22013293.219,2.099,0.0,5.367,4.061,22009090.709000003,G5,1275340715441,-2707251.3125014263,-4275445.381099326,3869208.6992804175,1119.6699173368067
1,2020-06-04-US-MTV-1,Pixel4,1275340714441,1,19,GPS_L1,1275340714357189245,18590521.237,-16998986.113,8073754.092,1026.272,-353.701,-2998.646,-44835.243,0.001,25208655.116,4.197,0.0,9.814,26.976,25163783.083,G19,1275340715441,-2707251.3125014263,-4275445.381099326,3869208.6992804175,1119.6699173368067
2,2020-06-04-US-MTV-1,Pixel4,1275340714441,1,25,GPS_L1,1275340714372616495,-14688050.134,-9898164.906,19636592.45,-156.832,-2533.295,-1352.185,2996.116,0.001,20583681.918,2.698,0.0,3.701,2.806,20586671.527,G25,1275340715441,-2707251.3125014263,-4275445.381099326,3869208.6992804175,1119.6699173368067
3,2020-06-04-US-MTV-1,Pixel4,1275340714441,1,29,GPS_L1,1275340714366400012,-20599561.477,-201873.362,16733267.003,1733.084,-1240.498,2110.097,-36091.047,-0.003,22447336.637,1.799,0.0,5.466,4.43,22411235.694000002,G29,1275340715441,-2707251.3125014263,-4275445.381099326,3869208.6992804175,1119.6699173368067
4,2020-06-04-US-MTV-1,Pixel4,1275340714441,1,31,GPS_L1,1275340714358001203,-10619542.773,11608276.77,21407886.02,-2444.67,-1200.442,-515.994,-14086.721,-0.001,24965236.231,4.197,0.0,8.306,17.389,24951123.814999998,G31,1275340715441,-2707251.3125014263,-4275445.381099326,3869208.6992804175,1119.6699173368067
5,2020-06-04-US-MTV-1,Pixel4,1275340714441,1,2,GPS_L1,1275340714369181238,-1056898.532,-16422488.984,21498479.719,2445.465,830.759,773.144,-139997.881,0.0,21613546.058,2.698,0.0,3.865,2.971,21473541.341,G2,1275340715441,-2707251.3125014263,-4275445.381099326,3869208.6992804175,1119.6699173368067
6,2020-06-04-US-MTV-1,Pixel4,1275340714441,1,6,GPS_L1,1275340714362561603,11460520.533,-10682495.308,21505466.154,2458.62,1145.465,-738.651,-84967.514,-0.002,23598062.706,4.797,0.0,6.506,6.502,23513082.184,G6,1275340715441,-2707251.3125014263,-4275445.381099326,3869208.6992804175,1119.6699173368067
7,2020-06-04-US-MTV-1,Pixel4,1275340714441,1,12,GPS_L1,1275340714374134711,-10462621.814,-19532451.386,14523702.989,101.475,-1880.522,-2401.45,32943.772,-0.002,20128532.212,2.698,0.0,3.474,2.537,20161469.973,G12,1275340715441,-2707251.3125014263,-4275445.381099326,3869208.6992804175,1119.6699173368067
8,2020-06-04-US-MTV-1,Pixel4,1275340714441,1,24,GPS_L1,1275340714359872395,-20175464.541,-14938786.65,-9414766.765,1188.078,136.578,-2785.453,-4170.077,0.001,24404266.982,9.294,0.0,8.976,9.389,24400078.540000003,G24,1275340715441,-2707251.3125014263,-4275445.381099326,3869208.6992804175,1119.6699173368067
0,2020-06-04-US-MTV-1,Pixel4,1275340715441,1,5,GPS_L1,1275340715367849325,-1483011.726,-26229636.788,2949155.219,374.084,346.104,3140.523,-4193.083,-0.001,22012843.53,2.099,0.0,5.367,4.061,22008641.019,G5,1275340716441,-2707275.556642939,-4275429.433575734,3869209.615550113,1109.6012696132807
