,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-06-05-US-MTV-2,Pixel4,1275424434440,1,5,GPS_L1,1275424434361850392,-2290710.019,-25952172.138,-4723118.31,339.652,-573.216,3093.802,-4210.932,-0.001,23311290.638,1.499,0.0,7.302,6.356,23307066.048,G5,1275424435439,-2708501.742661155,-4281960.221546949,3861437.9108008198,-5291.050446742967
1,2020-06-05-US-MTV-2,Pixel4,1275424434440,1,19,GPS_L1,1275424434359961568,15055507.995,-15901574.656,14709575.364,1861.406,-492.91,-2391.758,-44706.068,0.001,23877545.828,2.998,0.0,7.473,8.592,23832823.695,G19,1275424435439,-2708501.742661155,-4281960.221546949,3861437.9108008198,-5291.050446742967
2,2020-06-05-US-MTV-2,Pixel4,1275424434440,1,25,GPS_L1,1275424434368008041,-14747978.275,-3315850.454,21616287.051,217.89,-2789.926,-250.942,3085.207,0.0,21465273.909,1.799,0.0,4.369,3.519,21468351.228,G25,1275424435439,-2708501.742661155,-4281960.221546949,3861437.9108008198,-5291.050446742967
3,2020-06-05-US-MTV-2,Pixel4,1275424434440,1,29,GPS_L1,1275424434361279135,-24225755.502,2090793.434,10670913.28,1193.985,-670.06,2827.057,-36309.545,-0.003,23482549.178,3.897,0.0,6.77,6.484,23446226.378999997,G29,1275424435439,-2708501.742661155,-4281960.221546949,3861437.9108008198,-5291.050446742967
4,2020-06-05-US-MTV-2,Pixel4,1275424434440,1,2,GPS_L1,1275424434369764024,-6496867.376,-18692743.685,18379823.656,1974.343,990.12,1761.934,-140152.819,-0.0,20938843.449,2.398,0.0,3.414,2.592,20798684.624,G2,1275424435439,-2708501.742661155,-4281960.221546949,3861437.9108008198,-5291.050446742967
5,2020-06-05-US-MTV-2,Pixel4,1275424434440,1,6,GPS_L1,1275424434365544545,5604833.134,-13965051.117,21933448.4,2306.066,1529.848,390.053,-85124.232,-0.002,22203811.43,4.197,0.0,4.815,3.961,22118678.422,G6,1275424435439,-2708501.742661155,-4281960.221546949,3861437.9108008198,-5291.050446742967
6,2020-06-05-US-MTV-2,Pixel4,1275424434440,1,12,GPS_L1,1275424434372359297,-11109654.645,-14183712.53,19333104.409,458.587,-2455.805,-1504.55,32833.301,-0.002,20160800.177,2.698,0.0,3.388,2.579,20193627.511,G12,1275424435439,-2708501.742661155,-4281960.221546949,3861437.9108008198,-5291.050446742967
7,2020-06-05-US-MTV-2,Pixel4,1275424434440,1,24,GPS_L1,1275424434363062991,-22081383.235,-14985718.431,-2202455.745,383.6,-148.213,-3081.17,-4185.0,0.001,22947762.603,2.099,0.0,6.096,4.896,22943566.610999998,G24,1275424435439,-2708501.742661155,-4281960.221546949,3861437.9108008198,-5291.050446742967
0,2020-06-05-US-MTV-2,Pixel4,1275424435440,1,5,GPS_L1,1275424435361852455,-2290370.39,-25952745.169,-4720024.451,339.605,-572.846,3093.904,-4210.933,-0.001,23310672.166,1.799,0.0,7.301,6.355,23306447.577000003,G5,1275424436439,-2708487.563824447,-4281981.640911689,3861425.6749778474,-5281.905029136118
1,2020-06-05-US-MTV-2,Pixel4,1275424435440,1,19,GPS_L1,1275424435359959796,15057369.238,-15902067.571,14707183.45,1861.087,-492.92,-2392.078,-44706.067,0.001,23878077.06,1.799,0.0,7.474,8.595,23833354.924,G19,1275424436439,-2708487.563824447,-4281981.640911689,3861425.6749778474,-5281.905029136118
2,2020-06-05-US-MTV-2,Pixel4,1275424435440,1,25,GPS_L1,1275424435368009461,-14747760.468,-3318640.372,21616035.873,217.725,-2789.903,-251.412,3085.208,0.0,21464848.204,1.799,0.0,4.369,3.519,21467925.524,G25,1275424436439,-2708487.563824447,-4281981.640911689,3861425.6749778474,-5281.905029136118
3,2020-06-05-US-MTV-2,Pixel4,1275424435440,1,29,GPS_L1,1275424435361280529,-24224561.37,2090123.269,10673740.227,1194.274,-670.267,2826.83,-36309.548,-0.003,23482131.268,3.298,0.0,6.77,6.483,23445808.467,G29,1275424436439,-2708487.563824447,-4281981.640911689,3861425.6749778474,-5281.905029136118
4,2020-06-05-US-MTV-2,Pixel4,1275424435440,1,2,GPS_L1,1275424435369763384,-6494892.912,-18691753.571,18381585.403,1974.585,990.111,1761.563,-140152.82,-0.0,20939035.316,2.398,0.0,3.414,2.592,20798876.49,G2,1275424436439,-2708487.563824447,-4281981.640911689,3861425.6749778474,-5281.905029136118
5,2020-06-05-US-MTV-2,Pixel4,1275424435440,1,6,GPS_L1,1275424435365542808,5607139.263,-13963521.33,21933838.22,2306.2,1529.733,389.588,-85124.234,-0.002,22204332.17,3.897,0.0,4.816,3.961,22119199.159,G6,1275424436439,-2708487.563824447,-4281981.640911689,3861425.6749778474,-5281.905029136118
6,2020-06-05-US-MTV-2,Pixel4,1275424435440,1,12,GPS_L1,1275424435372359724,-11109196.147,-14186168.254,19331599.649,458.41,-2455.641,-1504.967,32833.299,-0.002,20160672.166,2.698,0.0,3.388,2.579,20193499.498,G12,1275424436439,-2708487.563824447,-4281981.640911689,3861425.6749778474,-5281.905029136118
7,2020-06-05-US-MTV-2,Pixel4,1275424435440,1,24,GPS_L1,1275424435363061103,-22080999.475,-14985866.555,-2205536.887,383.919,-148.037,-3081.124,-4184.999,0.001,22948328.611,2.099,0.0,6.096,4.897,22944132.619,G24,1275424436439,-2708487.563824447,-4281981.640911689,3861425.6749778474,-5281.905029136118
0,2020-06-05-US-MTV-2,Pixel4,1275424436440,1,5,GPS_L1,1275424436361854506,-2290030.808,-25953317.83,-4716930.49,339.559,-572.476,3094.005,-4210.933,-0.001,23310057.292,1.799,0.0,7.3,6.353,23305832.706,G5,1275424437439,-2708473.5392588475,-4282002.816119534,3861413.6168281105,-5273.98086979865
1,2020-06-05-US-MTV-2,Pixel4,1275424436440,1,19,GPS_L1,1275424436359958023,15059230.162,-15902560.496,14704791.217,1860.769,-492.931,-2392.397,-44706.066,0.001,23878608.592,1.799,0.0,7.475,8.597,23833886.454,G19,1275424437439,-2708473.5392588475,-4282002.816119534,3861413.6168281105,-5273.98086979865
2,2020-06-05-US-MTV-2,Pixel4,1275424436440,1,25,GPS_L1,1275424436368010882,-14747542.826,-3321430.268,21615784.226,217.56,-2789.88,-251.881,3085.208,0.0,21464422.199,1.799,0.0,4.369,3.519,21467499.519,G25,1275424437439,-2708473.5392588475,-4282002.816119534,3861413.6168281105,-5273.98086979865
3,2020-06-05-US-MTV-2,Pixel4,1275424436440,1,29,GPS_L1,1275424436361281960,-24223366.95,2089452.896,10676566.948,1194.563,-670.475,2826.603,-36309.551,-0.003,23481702.265,3.298,0.0,6.769,6.482,23445379.463,G29,1275424437439,-2708473.5392588475,-4282002.816119534,3861413.6168281105,-5273.98086979865
4,2020-06-05-US-MTV-2,Pixel4,1275424436440,1,2,GPS_L1,1275424436369762763,-6492918.208,-18690763.465,18383346.778,1974.826,990.102,1761.191,-140152.82,-0.0,20939221.487,2.099,0.0,3.414,2.592,20799062.661,G2,1275424437439,-2708473.5392588475,-4282002.816119534,3861413.6168281105,-5273.98086979865
5,2020-06-05-US-MTV-2,Pixel4,1275424436440,1,6,GPS_L1,1275424436365541080,5609445.527,-13961991.658,21934227.574,2306.334,1529.618,389.124,-85124.235,-0.002,22204850.211,3.598,0.0,4.816,3.962,22119717.198,G6,1275424437439,-2708473.5392588475,-4282002.816119534,3861413.6168281105,-5273.98086979865
6,2020-06-05-US-MTV-2,Pixel4,1275424436440,1,12,GPS_L1,1275424436372360142,-11108737.826,-14188623.813,19330094.472,458.232,-2455.477,-1505.385,32833.297,-0.002,20160546.853,2.398,0.0,3.388,2.578,20193374.183999997,G12,1275424437439,-2708473.5392588475,-4282002.816119534,3861413.6168281105,-5273.98086979865
7,2020-06-05-US-MTV-2,Pixel4,1275424436440,1,24,GPS_L1,1275424436363059216,-22080615.397,-14986014.504,-2208617.982,384.239,-147.862,-3081.079,-4184.999,0.001,22948894.32,2.099,0.0,6.097,4.898,22944698.326,G24,1275424437439,-2708473.5392588475,-4282002.816119534,3861413.6168281105,-5273.98086979865
0,2020-06-05-US-MTV-2,Pixel4,1275424437440,1,5,GPS_L1,1275424437361856544,-2289691.272,-25953890.122,-4713836.428,339.512,-572.106,3094.106,-4210.934,-0.001,23309446.315,2.099,0.0,7.299,6.351,23305221.731000002,G5,1275424438439,-2708459.6029875427,-4282023.989888597,3861401.4985431,-5259.748244339206
1,2020-06-05-US-MTV-2,Pixel4,1275424437440,1,19,GPS_L1,1275424437359956243,15061090.767,-15903053.432,14702398.664,1860.45,-492.942,-2392.716,-44706.065,0.001,23879142.223,2.099,0.0,7.476,8.599,23834420.083,G19,1275424438439,-2708459.6029875427,-4282023.989888597,3861401.4985431,-5259.748244339206
2,2020-06-05-US-MTV-2,Pixel4,1275424437440,1,25,GPS_L1,1275424437368012314,-14747325.35,-3324220.141,21615532.11,217.394,-2789.858,-252.351,3085.208,0.0,21463992.896,2.099,0.0,4.368,3.518,21467070.218000002,G25,1275424438439,-2708459.6029875427,-4282023.989888597,3861401.4985431,-5259.748244339206
