collectionName,phoneName,millisSinceGpsEpoch,latDeg,lngDeg,heightAboveWgs84EllipsoidM,timeSinceFirstFixSeconds,hDop,vDop,speedMps,courseDegree
2020-06-11-US-MTV-1,Pixel4,1275933942446,37.4245496624,-122.0922824483,33.84,59.45,1.40,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933943446,37.4245496617,-122.0922824483,33.84,60.45,1.40,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933944446,37.4245496624,-122.0922824476,33.84,61.45,1.40,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933945446,37.4245496624,-122.0922824483,33.84,62.45,1.40,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933946446,37.4245496633,-122.0922824476,33.84,63.45,1.40,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933947446,37.4245496617,-122.0922824483,33.84,64.45,1.40,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933948446,37.4245496626,-122.0922824483,33.84,65.45,1.55,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933949446,37.4245496624,-122.0922824467,33.84,66.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933950446,37.4245496626,-122.0922824476,33.84,67.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933951446,37.4245496624,-122.0922824476,33.84,68.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933952446,37.4245496633,-122.0922824467,33.84,69.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933953446,37.4245496617,-122.0922824467,33.84,70.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933954446,37.4245496633,-122.0922824467,33.84,71.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933955446,37.4245496633,-122.0922824467,33.84,72.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933956446,37.4245496626,-122.0922824467,33.84,73.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933957446,37.4245496633,-122.0922824467,33.84,74.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933958446,37.4245496624,-122.0922824467,33.84,75.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933959446,37.4245496633,-122.0922824467,33.84,76.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933960446,37.4245496626,-122.0922824467,33.84,77.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933961446,37.4245496633,-122.0922824459,33.84,78.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933962446,37.4245496626,-122.0922824467,33.84,79.45,1.60,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933963446,37.4245496624,-122.0922824459,33.84,80.45,1.40,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933964446,37.4245496633,-122.0922824450,33.84,81.45,1.55,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933965446,37.4245496617,-122.0922824450,33.84,82.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933966446,37.4245496633,-122.0922824450,33.84,83.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933967446,37.4245496617,-122.0922824450,33.84,84.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933968446,37.4245496624,-122.0922824442,33.84,85.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933969446,37.4245496626,-122.0922824450,33.84,86.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933970446,37.4245496624,-122.0922824450,33.84,87.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933971446,37.4245496626,-122.0922824442,33.84,88.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933972446,37.4245496617,-122.0922824450,33.84,89.45,1.70,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933973446,37.4245496617,-122.0922824442,33.84,90.45,1.90,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933974446,37.4245496617,-122.0922824433,33.84,91.45,2.00,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933975446,37.4245496617,-122.0922824442,33.84,92.45,2.00,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933976446,37.4245496617,-122.0922824433,33.84,93.45,2.00,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933977446,37.4245496617,-122.0922824433,33.84,94.45,2.00,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933978446,37.4245496617,-122.0922824433,33.84,95.45,2.00,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933979446,37.4245496617,-122.0922824433,33.84,96.45,2.00,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933980446,37.4245496617,-122.0922824433,33.84,97.45,2.00,0.00,0.00,202.90
2020-06-11-US-MTV-1,Pixel4,1275933981446,37.4245496617,-122.0922824433,33.84,98.45,2.00,0.00,0.00,202.90
