,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-06-11-US-MTV-1,Pixel4,1275933962446,1,17,GPS_L1,1275933962372282419,4772650.091,-14288729.317,22293624.95,2690.76,417.329,-318.94,83718.85,0.003,22178316.516,5.096,0.0,3.001,3.795,22262028.57,G17,1275933963446,-2694396.730360562,-4296521.922376702,3854900.732886806,228.88562952998365
1,2020-06-11-US-MTV-1,Pixel4,1275933962446,1,15,GPS_L1,1275933962362007855,-25627728.116,-4494424.097,-6566245.303,783.423,-343.147,-2928.165,-67438.261,0.002,25258553.312,9.294,0.0,6.285,17.316,25191091.45,G15,1275933963446,-2694396.730360562,-4296521.922376702,3854900.732886806,228.88562952998365
2,2020-06-11-US-MTV-1,Pixel4,1275933962446,1,19,GPS_L1,1275933962377880118,-4034933.875,-15164606.282,21133112.579,2708.303,466.725,837.156,-43924.165,0.001,20500168.573,5.696,0.0,2.321,2.808,20456239.279000003,G19,1275933963446,-2694396.730360562,-4296521.922376702,3854900.732886806,228.88562952998365
3,2020-06-11-US-MTV-1,Pixel4,1275933962446,1,2,GPS_L1,1275933962371967020,-13844395.981,-22570165.1,-1762714.701,104.75,-400.763,3159.412,-141076.283,-0.002,22272870.757,2.398,0.0,3.504,4.102,22131786.867999997,G2,1275933963446,-2694396.730360562,-4296521.922376702,3854900.732886806,228.88562952998365
4,2020-06-11-US-MTV-1,Pixel4,1275933962446,1,6,GPS_L1,1275933962375891122,-5468081.255,-24680669.446,8123483.947,619.683,840.722,2994.561,-86062.208,-0.002,21096454.573,2.398,0.0,2.604,3.031,21010386.73,G6,1275933963446,-2694396.730360562,-4296521.922376702,3854900.732886806,228.88562952998365
5,2020-06-11-US-MTV-1,Pixel4,1275933962446,1,12,GPS_L1,1275933962369644767,-18845168.1,3989789.057,17980536.125,1359.357,-1901.022,1837.692,32158.669,-0.002,22969064.692,2.099,0.0,3.921,5.876,23001213.564000003,G12,1275933963446,-2694396.730360562,-4296521.922376702,3854900.732886806,228.88562952998365
6,2020-06-11-US-MTV-1,Pixel4,1275933962446,1,24,GPS_L1,1275933962375620691,-18557944.885,-7106563.877,17593492.669,-913.989,-2083.684,-1749.116,-4264.958,-0.0,21177527.747,8.094,0.0,2.568,3.153,21173257.068,G24,1275933963446,-2694396.730360562,-4296521.922376702,3854900.732886806,228.88562952998365
7,2020-06-11-US-MTV-1,Pixel4,1275933962446,1,28,GPS_L1,1275933962368606601,10890598.583,-22627674.66,9452203.103,859.736,-727.461,-2898.368,212723.532,0.0,23280299.029,6.296,0.0,4.362,5.894,23493012.305,G28,1275933963446,-2694396.730360562,-4296521.922376702,3854900.732886806,228.88562952998365
0,2020-06-11-US-MTV-1,Pixel4,1275933963446,1,13,GPS_L1,1275933963362445627,-19322445.982,-13233763.626,-12736222.544,1599.921,144.58,-2592.063,5247.288,0.001,25127312.568,13.79,0.0,6.942,20.012,25132532.902,G13,1275933964446,-2694396.7303077383,-4296521.92242575,3854900.732869179,238.00691734584603
1,2020-06-11-US-MTV-1,Pixel4,1275933963446,1,17,GPS_L1,1275933963372280931,4775340.84,-14288312.077,22293305.782,2690.748,417.153,-319.396,83718.853,0.003,22178762.607,5.096,0.0,3.001,3.796,22262474.663000003,G17,1275933964446,-2694396.7303077383,-4296521.92242575,3854900.732869179,238.00691734584603
2,2020-06-11-US-MTV-1,Pixel4,1275933963446,1,15,GPS_L1,1275933963362006159,-25626944.523,-4494767.266,-6569173.396,783.765,-343.193,-2928.03,-67438.259,0.002,25259061.76,8.094,0.0,6.286,17.325,25191599.890000004,G15,1275933964446,-2694396.7303077383,-4296521.92242575,3854900.732869179,238.00691734584603
3,2020-06-11-US-MTV-1,Pixel4,1275933963446,1,19,GPS_L1,1275933963377879112,-4032225.508,-15164139.629,21133949.503,2708.437,466.581,836.695,-43924.164,0.001,20500470.165,6.296,0.0,2.321,2.808,20456540.872,G19,1275933964446,-2694396.7303077383,-4296521.92242575,3854900.732869179,238.00691734584603
4,2020-06-11-US-MTV-1,Pixel4,1275933963446,1,2,GPS_L1,1275933963371968732,-13844291.149,-22570565.69,-1759555.264,104.913,-400.416,3159.45,-141076.285,-0.002,22272357.513,2.398,0.0,3.503,4.102,22131273.623,G2,1275933964446,-2694396.7303077383,-4296521.92242575,3854900.732869179,238.00691734584603
5,2020-06-11-US-MTV-1,Pixel4,1275933963446,1,6,GPS_L1,1275933963375892041,-5467461.466,-24679828.571,8126478.424,619.893,841.026,2994.388,-86062.21,-0.002,21096179.064,2.398,0.0,2.604,3.031,21010111.219,G6,1275933964446,-2694396.7303077383,-4296521.92242575,3854900.732869179,238.00691734584603
6,2020-06-11-US-MTV-1,Pixel4,1275933963446,1,12,GPS_L1,1275933963369646453,-18843808.724,3987887.9,17982373.623,1359.39,-1901.286,1837.3,32158.666,-0.002,22968559.242,2.099,0.0,3.921,5.875,23000708.112,G12,1275933964446,-2694396.7303077383,-4296521.92242575,3854900.732869179,238.00691734584603
7,2020-06-11-US-MTV-1,Pixel4,1275933963446,1,24,GPS_L1,1275933963375621210,-18558858.878,-7108647.438,17591743.365,-913.996,-2083.437,-1749.491,-4264.958,-0.0,21177372.155,9.294,0.0,2.568,3.153,21173101.476,G24,1275933964446,-2694396.7303077383,-4296521.92242575,3854900.732869179,238.00691734584603
8,2020-06-11-US-MTV-1,Pixel4,1275933963446,1,28,GPS_L1,1275933963368605286,10891458.181,-22628402.009,9449304.642,859.463,-727.239,-2898.563,212723.532,0.0,23280693.256,5.696,0.0,4.363,5.895,23493406.53,G28,1275933964446,-2694396.7303077383,-4296521.92242575,3854900.732869179,238.00691734584603
0,2020-06-11-US-MTV-1,Pixel4,1275933964446,1,13,GPS_L1,1275933964362443609,-19320845.902,-13233619.059,-12738814.468,1600.246,144.555,-2591.795,5247.29,0.001,25127917.549,11.992,0.0,6.944,20.026,25133137.869,G13,1275933965446,-2694396.730207998,-4296521.922416645,3854900.7329485035,245.98751095431456
1,2020-06-11-US-MTV-1,Pixel4,1275933964446,1,17,GPS_L1,1275933964372279391,4778031.578,-14287895.012,22292986.158,2690.737,416.977,-319.853,83718.856,0.003,22179224.287,7.195,0.0,3.001,3.796,22262936.346,G17,1275933965446,-2694396.730207998,-4296521.922416645,3854900.7329485035,245.98751095431456
