,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-08-06-US-MTV-2,Pixel4,1280791199447,1,8,GPS_L1,1280791199370376953,-16815601.847,2332451.112,20502683.697,-1674.502,-1979.4,-1123.509,-13074.152,-0.0,22828263.328,4.197,0.0,4.4,4.847,22815179.929000005,G8,1280791200446,-2693130.684006207,-4297295.237440772,3854924.3986300062,-325.87282915301006
1,2020-08-06-US-MTV-2,Pixel4,1280791199447,1,10,GPS_L1,1280791199377382669,-10363891.259,-12738992.909,21011485.232,2578.63,-572.351,904.793,-126107.484,-0.003,20728002.509,2.698,0.0,2.664,2.636,20601889.724999998,G10,1280791200446,-2693130.684006207,-4297295.237440772,3854924.3986300062,-325.87282915301006
2,2020-08-06-US-MTV-2,Pixel4,1280791199447,1,11,GPS_L1,1280791199363384074,-13180266.059,12292896.398,19121076.448,-515.525,-2493.92,1183.4,-59918.708,0.002,24924675.712,6.296,0.0,6.844,22.13,24864728.03,G11,1280791200446,-2693130.684006207,-4297295.237440772,3854924.3986300062,-325.87282915301006
3,2020-08-06-US-MTV-2,Pixel4,1280791199447,1,15,GPS_L1,1280791199362432961,16695064.565,-4782467.762,19861344.488,1825.196,1850.846,-1033.577,-63670.007,0.0,25209812.216,11.992,0.0,5.687,28.447,25146108.075,G15,1280791200446,-2693130.684006207,-4297295.237440772,3854924.3986300062,-325.87282915301006
4,2020-08-06-US-MTV-2,Pixel4,1280791199447,1,20,GPS_L1,1280791199376140209,2210527.832,-16675211.683,20428373.506,2523.958,-736.311,-894.18,158029.237,-0.0,21100482.646,3.598,0.0,3.117,3.219,21258505.547000002,G20,1280791200446,-2693130.684006207,-4297295.237440772,3854924.3986300062,-325.87282915301006
5,2020-08-06-US-MTV-2,Pixel4,1280791199447,1,21,GPS_L1,1280791199376107622,-11913649.801,-12737073.455,20879073.048,714.344,-2372.176,-1048.932,9798.967,0.004,21110251.983,5.696,0.0,2.662,2.625,21120045.663,G21,1280791200446,-2693130.684006207,-4297295.237440772,3854924.3986300062,-325.87282915301006
6,2020-08-06-US-MTV-2,Pixel4,1280791199447,1,18,GPS_L1,1280791199371778480,4853689.716,-25356225.86,6148334.894,518.957,-642.644,-3056.523,79192.15,0.002,22408096.104,2.099,0.0,4.25,4.483,22487279.520999998,G18,1280791200446,-2693130.684006207,-4297295.237440772,3854924.3986300062,-325.87282915301006
7,2020-08-06-US-MTV-2,Pixel4,1280791199447,1,24,GPS_L1,1280791199367595452,14577794.76,-17870607.839,12638681.901,-128.305,1683.728,2526.162,-5030.466,-0.001,23662136.35,3.897,0.0,5.39,8.054,23657092.44,G24,1280791200446,-2693130.684006207,-4297295.237440772,3854924.3986300062,-325.87282915301006
8,2020-08-06-US-MTV-2,Pixel4,1280791199447,1,27,GPS_L1,1280791199375287075,-20575254.249,-8838202.667,14393018.365,-1090.716,-1485.276,-2413.963,-109372.998,-0.003,21356245.785,8.094,0.0,3.156,3.092,21246866.539,G27,1280791200446,-2693130.684006207,-4297295.237440772,3854924.3986300062,-325.87282915301006
9,2020-08-06-US-MTV-2,Pixel4,1280791199447,1,32,GPS_L1,1280791199374815953,-16423359.415,-20879077.217,2143697.261,381.897,10.627,3141.863,98578.24,0.002,21497484.607,2.998,0.0,3.501,3.357,21596055.989,G32,1280791200446,-2693130.684006207,-4297295.237440772,3854924.3986300062,-325.87282915301006
