,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-08-06-US-MTV-2,Pixel4,1280790139447,1,15,GPS_L1,1280790139364872010,14769147.642,-6843280.833,20710387.587,1798.667,2030.713,-564.761,-63670.037,-0.0,24478603.722,5.096,0.0,5.592,12.857,24414915.235999998,G15,1280790140446,-2704817.5610926114,-4289906.508155122,3855100.214954327,2633.213319170238
1,2020-08-06-US-MTV-2,Pixel4,1280790139447,1,21,GPS_L1,1280790139375280233,-12768028.292,-10189414.337,21755075.089,896.831,-2423.496,-600.84,9795.096,0.004,21358296.965,5.696,0.0,2.805,2.768,21368086.488,G21,1280790140446,-2704817.5610926114,-4289906.508155122,3855100.214954327,2633.213319170238
2,2020-08-06-US-MTV-2,Pixel4,1280790139447,1,27,GPS_L1,1280790139375200044,-19369797.12,-7098030.735,16770923.392,-1172.632,-1795.416,-2063.534,-109370.206,-0.003,21382337.022,2.698,0.0,3.199,3.133,21272960.483999997,G27,1280790140446,-2704817.5610926114,-4289906.508155122,3855100.214954327,2633.213319170238
3,2020-08-06-US-MTV-2,Pixel4,1280790139447,1,8,GPS_L1,1280790139368947504,-15064234.604,4539607.034,21445764.736,-1620.087,-2177.427,-652.178,-13073.91,-0.0,23256801.358,7.195,0.0,4.836,5.727,23243716.884999998,G8,1280790140446,-2704817.5610926114,-4289906.508155122,3855100.214954327,2633.213319170238
4,2020-08-06-US-MTV-2,Pixel4,1280790139447,1,10,GPS_L1,1280790139377378672,-13039811.994,-12230182.548,19808716.827,2458.213,-389.284,1359.989,-126104.657,-0.003,20729200.779,5.096,0.0,2.7,2.627,20603090.794999998,G10,1280790140446,-2704817.5610926114,-4289906.508155122,3855100.214954327,2633.213319170238
5,2020-08-06-US-MTV-2,Pixel4,1280790139447,1,20,GPS_L1,1280790139377144746,-533988.709,-15955978.937,21126185.158,2643.413,-615.471,-419.954,158029.629,-0.0,20799330.03,3.897,0.0,2.951,2.977,20957353.731,G20,1280790140446,-2704817.5610926114,-4289906.508155122,3855100.214954327,2633.213319170238
6,2020-08-06-US-MTV-2,Pixel4,1280790139447,1,18,GPS_L1,1280790139373268709,4199811.406,-24497050.184,9301782.74,721.391,-970.795,-2881.497,79189.531,0.002,21961336.689,1.799,0.0,3.843,3.901,22040518.476,G18,1280790140446,-2704817.5610926114,-4289906.508155122,3855100.214954327,2633.213319170238
7,2020-08-06-US-MTV-2,Pixel4,1280790139447,1,24,GPS_L1,1280790139366915958,14706096.017,-19473237.517,9816621.682,-104.455,1336.047,2787.526,-5029.236,-0.001,23865843.527,4.797,0.0,5.799,9.026,23860799.466,G24,1280790140446,-2704817.5610926114,-4289906.508155122,3855100.214954327,2633.213319170238
8,2020-08-06-US-MTV-2,Pixel4,1280790139447,1,32,GPS_L1,1280790139372902639,-16689178.286,-20729826.195,-1198881.106,126.804,-298.489,3152.429,98576.098,0.002,22071081.714,1.499,0.0,4.121,3.942,22169649.749,G32,1280790140446,-2704817.5610926114,-4289906.508155122,3855100.214954327,2633.213319170238
0,2020-08-06-US-MTV-2,Pixel4,1280790140447,1,15,GPS_L1,1280790140364869685,14770946.332,-6841250.2,20709822.6,1798.72,2030.563,-565.213,-63670.037,-0.0,24479300.739,5.096,0.0,5.592,12.864,24415612.246,G15,1280790141446,-2704801.4323949707,-4289935.2929051705,3855077.2853616127,2642.723429357591
1,2020-08-06-US-MTV-2,Pixel4,1280790140447,1,21,GPS_L1,1280790140375281000,-12767131.546,-10191837.826,21754474.033,896.662,-2423.48,-601.271,9795.099,0.004,21358067.024,6.296,0.0,2.805,2.768,21367856.55,G21,1280790141446,-2704801.4323949707,-4289935.2929051705,3855077.2853616127,2642.723429357591
2,2020-08-06-US-MTV-2,Pixel4,1280790140447,1,27,GPS_L1,1280790140375200273,-19370969.729,-7099826.008,16768859.68,-1172.586,-1795.132,-2063.889,-109370.209,-0.003,21382268.37,2.998,0.0,3.198,3.133,21272891.830000002,G27,1280790141446,-2704801.4323949707,-4289935.2929051705,3855077.2853616127,2642.723429357591
3,2020-08-06-US-MTV-2,Pixel4,1280790140447,1,8,GPS_L1,1280790140368948846,-15065854.733,4537429.687,21445112.33,-1620.166,-2177.263,-652.632,-13073.91,-0.0,23256399.036,6.296,0.0,4.835,5.726,23243314.564999998,G8,1280790141446,-2704801.4323949707,-4289935.2929051705,3855077.2853616127,2642.723429357591
4,2020-08-06-US-MTV-2,Pixel4,1280790140447,1,10,GPS_L1,1280790140377378681,-13037353.707,-12230571.916,19810076.607,2458.36,-389.451,1359.573,-126104.659,-0.003,20729198.081,4.797,0.0,2.7,2.627,20603088.095,G10,1280790141446,-2704801.4323949707,-4289935.2929051705,3855077.2853616127,2642.723429357591
5,2020-08-06-US-MTV-2,Pixel4,1280790140447,1,20,GPS_L1,1280790140377143831,-531345.34,-15956594.472,21125764.977,2643.332,-615.599,-420.408,158029.629,-0.0,20799604.34,4.197,0.0,2.951,2.977,20957628.040999997,G20,1280790141446,-2704801.4323949707,-4289935.2929051705,3855077.2853616127,2642.723429357591
6,2020-08-06-US-MTV-2,Pixel4,1280790140447,1,18,GPS_L1,1280790140373267409,4200532.692,-24498020.834,9298901.147,721.183,-970.508,-2881.695,79189.534,0.002,21961726.419,1.799,0.0,3.843,3.901,22040908.209000003,G18,1280790141446,-2704801.4323949707,-4289935.2929051705,3855077.2853616127,2642.723429357591
7,2020-08-06-US-MTV-2,Pixel4,1280790140447,1,24,GPS_L1,1280790140366916770,14705991.538,-19471901.299,9819409.102,-104.504,1336.385,2787.311,-5029.237,-0.001,23865600.095,4.797,0.0,5.798,9.024,23860556.036,G24,1280790141446,-2704801.4323949707,-4289935.2929051705,3855077.2853616127,2642.723429357591
