,collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM,PrM,SvName,millisSinceGpsEpoch_old,ecefX,ecefY,ecefZ,b
0,2020-05-21-US-MTV-2,Pixel4,1274132634434,1,5,GPS_L1,1274132634357382903,-2137067.435,-26194336.979,-3133413.225,323.362,-383.021,3136.031,-3925.516,-0.001,22992383.137,2.099,0.0,6.943,5.593,22988445.085,G5,1274132635434,-2698525.6065598386,-4289541.57367934,3859749.3271904974,-12399.68260709737
1,2020-05-21-US-MTV-2,Pixel4,1274132634434,1,19,GPS_L1,1274132634353491462,16024928.019,-16147249.16,13390239.055,1687.097,-489.833,-2554.645,-46676.648,0.001,24159007.8,4.197,0.0,7.994,10.107,24112313.051000003,G19,1274132635434,-2698525.6065598386,-4289541.57367934,3859749.3271904974,-12399.68260709737
2,2020-05-21-US-MTV-2,Pixel4,1274132634434,1,25,GPS_L1,1274132634363259061,-14651446.733,-4786417.879,21416163.562,132.961,-2768.958,-496.287,1787.625,0.0,21230755.287,2.099,0.0,4.322,3.299,21232535.291,G25,1274132635434,-2698525.6065598386,-4289541.57367934,3859749.3271904974,-12399.68260709737
3,2020-05-21-US-MTV-2,Pixel4,1274132634434,1,29,GPS_L1,1274132634356355556,-23644776.813,1880223.596,11930667.903,1316.43,-773.383,2718.305,-32895.589,-0.003,23300374.02,3.298,0.0,6.861,6.01,23267465.559999995,G29,1274132635434,-2698525.6065598386,-4289541.57367934,3859749.3271904974,-12399.68260709737
4,2020-05-21-US-MTV-2,Pixel4,1274132634434,1,2,GPS_L1,1274132634363887340,-5349211.618,-18168627.423,19282651.21,2098.932,981.502,1554.033,-137798.308,-0.0,21042401.981,1.799,0.0,3.572,2.634,20904597.467,G2,1274132635434,-2698525.6065598386,-4289541.57367934,3859749.3271904974,-12399.68260709737
5,2020-05-21-US-MTV-2,Pixel4,1274132634434,1,6,GPS_L1,1274132634359366911,6523187.395,-13364381.272,22056419.559,2368.394,1460.274,189.239,-82633.268,-0.002,22397592.502,2.398,0.0,5.162,4.192,22314949.88,G6,1274132635434,-2698525.6065598386,-4289541.57367934,3859749.3271904974,-12399.68260709737
6,2020-05-21-US-MTV-2,Pixel4,1274132634434,1,12,GPS_L1,1274132634367056073,-10876168.045,-15475925.643,18474320.519,368.969,-2359.185,-1721.571,34546.991,-0.002,20092439.727,2.099,0.0,3.486,2.532,20126980.7,G12,1274132635434,-2698525.6065598386,-4289541.57367934,3859749.3271904974,-12399.68260709737
7,2020-05-21-US-MTV-2,Pixel4,1274132634434,1,24,GPS_L1,1274132634356586501,-21867881.687,-15010488.929,-3734478.149,544.892,-66.4,-3051.052,-3998.997,0.001,23231138.451,5.696,0.0,6.851,5.41,23227127.193,G24,1274132635434,-2698525.6065598386,-4289541.57367934,3859749.3271904974,-12399.68260709737
0,2020-05-21-US-MTV-2,Pixel4,1274132635434,1,5,GPS_L1,1274132635357384966,-2136744.084,-26194719.812,-3130277.154,323.34,-382.644,3136.099,-3925.517,-0.001,22991764.666,2.099,0.0,6.942,5.591,22987826.616,G5,1274132636434,-2698510.1523469468,-4289563.657882886,3859734.6615147055,-12409.270048752287
1,2020-05-21-US-MTV-2,Pixel4,1274132635434,1,19,GPS_L1,1274132635353489742,16026614.947,-16147738.984,13387684.27,1686.764,-489.815,-2554.935,-46676.647,0.001,24159523.443,4.797,0.0,7.995,10.11,24112828.691,G19,1274132636434,-2698510.1523469468,-4289563.657882886,3859734.6615147055,-12409.270048752287
